cycles,read_latency_ns,throughput_mbps,note,dram,workload,channels,speedup,efficiency_pct
22673,154.56,22374.17,CacheLine Interleaved,DDR4-3200,Benign,1,1.0,100.0
11011,130.52,45392.28,CacheLine Interleaved,DDR4-3200,Benign,2,2.03,101.4
7474,150.79,66979.64,Modulo-3 Interleaved,DDR4-3200,Benign,3,2.99,99.8
5703,94.34,86742.84,CacheLine Interleaved,DDR4-3200,Benign,4,3.88,96.9
4999,47.03,99511.74,CacheLine Interleaved,DDR4-3200,Benign,8,4.45,55.6
45337,197.94,11220.93,CacheLine Interleaved,DDR4-3200,RowHammer,1,1.0,100.0
20368,179.72,24815.71,CacheLine Interleaved,DDR4-3200,RowHammer,2,2.21,110.6
16769,196.16,33623.23,Modulo-3 Interleaved,DDR4-3200,RowHammer,3,3.0,99.9
9762,172.2,51105.59,CacheLine Interleaved,DDR4-3200,RowHammer,4,4.55,113.9
4999,30.47,101949.35,CacheLine Interleaved,DDR4-3200,RowHammer,8,9.09,113.6
34603,180.21,14657.32,CacheLine Interleaved,DDR4-3200,Mixed,1,1.0,100.0
17035,134.67,29683.08,CacheLine Interleaved,DDR4-3200,Mixed,2,2.03,101.3
11023,170.83,45685.84,Modulo-3 Interleaved,DDR4-3200,Mixed,3,3.12,103.9
8734,124.29,56569.73,CacheLine Interleaved,DDR4-3200,Mixed,4,3.86,96.5
4999,42.9,100290.14,CacheLine Interleaved,DDR4-3200,Mixed,8,6.84,85.5
48485,208.02,15684.47,CacheLine Interleaved,DDR5-4800,Benign,1,1.0,100.0
22197,214.35,33712.11,CacheLine Interleaved,DDR5-4800,Benign,2,2.15,107.5
15651,208.49,47900.23,Modulo-3 Interleaved,DDR5-4800,Benign,3,3.05,101.8
10947,178.49,66670.88,CacheLine Interleaved,DDR5-4800,Benign,4,4.25,106.3
5270,101.48,137206.25,CacheLine Interleaved,DDR5-4800,Benign,8,8.75,109.3
71656,211.89,10666.35,CacheLine Interleaved,DDR5-4800,RowHammer,1,1.0,100.0
32021,191.55,23715.21,CacheLine Interleaved,DDR5-4800,RowHammer,2,2.22,111.2
26164,207.79,32240.93,Modulo-3 Interleaved,DDR5-4800,RowHammer,3,3.02,100.8
15439,185.52,48548.38,CacheLine Interleaved,DDR5-4800,RowHammer,4,4.55,113.8
7151,168.28,102062.11,CacheLine Interleaved,DDR5-4800,RowHammer,8,9.57,119.6
61021,211.83,12487.5,CacheLine Interleaved,DDR5-4800,Mixed,1,1.0,100.0
31648,191.32,24014.16,CacheLine Interleaved,DDR5-4800,Mixed,2,1.92,96.2
20478,204.52,37247.56,Modulo-3 Interleaved,DDR5-4800,Mixed,3,2.98,99.4
15677,145.46,47566.01,CacheLine Interleaved,DDR5-4800,Mixed,4,3.81,95.2
5822,86.4,125782.84,CacheLine Interleaved,DDR5-4800,Mixed,8,10.07,125.9
